Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2021,Farm animals,All species,Rabbits,All prescription types,1719707,59683,6014.54,208.74,285925
2021,Farm animals,All species,Laying and parent birds,All prescription types,511379,31266,1244.36,76.08,410958
2021,Farm animals,All species,Laying hens,All prescription types,1611021,102849,445.48,28.44,3616369
2021,Farm animals,All species,Fattening broilers,All prescription types,44262898,23292617,568.13,298.97,77910482
2021,Farm animals,All species,Fattening pigs and giltsm,All prescription types,798034,102801,317.07,40.84,2516871
2021,Farm animals,All species,Fattening turkeys,All prescription types,37831,6728,94.78,16.86,399164
2021,Farm animals,All species,Dairy cows,All prescription types,764836,76057,1438.72,143.07,531607
2021,Farm animals,All species,Suckler cows,All prescription types,48092,3321,209.15,14.44,229936
2021,Farm animals,All species,Cattle rearing and fattening,All prescription types,2729931,643966,2733.17,644.73,998814
2021,Farm animals,All species,Suckling and weaned piglets,All prescription types,1512079,214840,335.07,47.61,4512696
2021,Farm animals,All species,Sheep,All prescription types,42768,3812,100.21,8.93,426770
2021,Farm animals,All species,Goats,All prescription types,52603,10241,483.38,94.11,108824
2021,Farm animals,All species,Breeding sows and boars,All prescription types,11727,2464,397.05,83.43,29535
2021,Farm animals,Poultry,All categories of use,All prescription types,49454395,24941664,3128.43,806.29,86244845
2021,Farm animals,Poultry,Rearing laying hens and parent birds,All prescription types,3031266,1508204,775.68,385.94,3907872
2021,Farm animals,Poultry,Laying and parent birds,All prescription types,511379,31266,1244.36,76.08,410958
2021,Farm animals,Poultry,Laying hens,All prescription types,1611021,102849,445.48,28.44,3616369
2021,Farm animals,Poultry,Fattening broilers,All prescription types,44262898,23292617,568.13,298.97,77910482
2021,Farm animals,Poultry,Fattening turkeys,All prescription types,37831,6728,94.78,16.86,399164
2021,Farm animals,Game animals,All categories of use,All prescription types,121,17,8.06,1.13,15009
2021,Farm animals,Game animals,Game animals,All prescription types,121,17,8.06,1.13,15009
2021,Farm animals,Camelids,All categories of use,All prescription types,2803,658,308.97,72.53,9072
2021,Farm animals,Camelids,Camelids,All prescription types,2803,658,308.97,72.53,9072
2021,Farm animals,Rabbits,All categories of use,All prescription types,1719707,59683,6014.54,208.74,285925
2021,Farm animals,Rabbits,Rabbits,All prescription types,1719707,59683,6014.54,208.74,285925
2021,Farm animals,Cattle,All categories of use,All prescription types,3542859,723344,4381.04,802.24,1760357
2021,Farm animals,Cattle,Dairy cows,All prescription types,764836,76057,1438.72,143.07,531607
