TIMESTEP,BVD_AMPEL,N_FARMS
2024-09-06,green,29583
2024-09-06,orange,4794
2024-09-06,red,111
2024-09-07,green,29584
2024-09-07,orange,4793
2024-09-07,red,111
2024-09-08,green,29586
2024-09-08,orange,4793
2024-09-08,red,111
2024-09-09,green,29586
2024-09-09,orange,4793
2024-09-09,red,111
2024-09-10,green,29592
2024-09-10,orange,4790
2024-09-10,red,108
2024-09-11,green,29597
2024-09-11,orange,4787
2024-09-11,red,107
2024-09-12,green,29597
2024-09-12,orange,4784
2024-09-12,red,110
2024-09-13,green,29600
2024-09-13,orange,4784
2024-09-13,red,107
2024-09-14,green,29602
2024-09-14,orange,4782
2024-09-14,red,107
2024-09-15,green,29602
2024-09-15,orange,4782
2024-09-15,red,107
2024-09-16,green,29602
2024-09-16,orange,4782
2024-09-16,red,107
2024-09-17,green,29614
2024-09-17,orange,4772
2024-09-17,red,105
2024-09-18,green,29613
2024-09-18,orange,4773
2024-09-18,red,105
2024-09-19,green,29617
2024-09-19,orange,4771
2024-09-19,red,103
2024-09-20,green,29619
2024-09-20,orange,4769
2024-09-20,red,103
2024-09-21,green,29619
2024-09-21,orange,4769
2024-09-21,red,103
2024-09-22,green,29622
2024-09-22,orange,4770
2024-09-22,red,101
2024-09-23,green,29620
2024-09-23,orange,4772
2024-09-23,red,101
2024-09-24,green,29618
2024-09-24,orange,4772
2024-09-24,red,103
2024-09-25,green,29614
2024-09-25,orange,4770
2024-09-25,red,109
2024-09-26,green,29618
2024-09-26,orange,4766
2024-09-26,red,109
